name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
public bank,publicbankgroup.com,1966.0,banking,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/public-bank,761,1820
universiti tunku abdul rahman (utar),utar.edu.my,2002.0,higher education,1001 - 5000,"kampar, perak, malaysia",malaysia,linkedin.com/company/universiti-tunku-abdul-rahman,726,1102
aet,aet-tankers.com,1994.0,maritime,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/aet,717,1322
prudential bsn takaful berhad,prubsn.com.my,2006.0,insurance,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/prudential-bsn-takaful-berhad,717,905
pwc malaysia,,,accounting,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/pwc-malaysia,679,1777
universiti tun hussein onn malaysia,uthm.edu.my,1993.0,higher education,1001 - 5000,"bandar penggaram, johor, malaysia",malaysia,linkedin.com/company/universiti-tun-hussein-onn-malaysia,670,823
bank rakyat malaysia,bankrakyat.com.my,1954.0,banking,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/bank-rakyat-malaysia,670,890
resorts world genting,rwgenting.com,1965.0,hospitality,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/resorts-world-genting,663,1745
fastlite electric marketing,trademal.com,,electrical/electronic manufacturing,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/fastlite-electric-marketing,653,656
united overseas bank (malaysia) bhd,uob.com.my,1951.0,banking,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/united-overseas-bank-malaysia-bhd,629,1470
universiti malaysia perlis,unimap.edu.my,,research,1001 - 5000,"arau, perlis, malaysia",malaysia,linkedin.com/company/universiti-malaysia-perlis,618,769
swasta setia holdings sdn bhd,swasta.com.my,1988.0,real estate,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/swasta-setia-holdings-sdn-bhd,614,631
kpmg malaysia,kpmg.com.my,,accounting,1001 - 5000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/kpmg-malaysia,599,2451
taylor's education group,taylors.edu.my,,education management,1001 - 5000,"subang jaya, selangor, malaysia",malaysia,linkedin.com/company/taylor's-education-group,584,1475
universiti kuala lumpur,unikl.edu.my,2002.0,education management,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/universiti-kuala-lumpur,582,779
scicom (msc) bhd,scicom-intl.com,1997.0,outsourcing/offshoring,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/scicom-msc-bhd,567,1922
malaysia airports,malaysiaairports.com.my,1991.0,airlines/aviation,1001 - 5000,"sepang, selangor, malaysia",malaysia,linkedin.com/company/malaysia-airports,556,962
maybank kim eng,maybank-ke.com,,financial services,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/maybank-kim-eng,536,1174
inta,inta.com.tr,1993.0,telecommunications,1001 - 5000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/inta,515,655
etiqa insurance and takaful,etiqa.com.my,2007.0,financial services,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/etiqa,505,815
kpj healthcare bhd,kpjhealth.com.my,1984.0,hospital & health care,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/kpj-healthcare-bhd,499,703
media prima berhad,mediaprima.com.my,,broadcast media,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/media-prima-berhad,488,1093
affin bank berhad,affinbank.com.my,,banking,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/affin-bank-berhad,478,798
time dotcom berhad,time.com.my,,telecommunications,1001 - 5000,"shah alam, selangor, malaysia",malaysia,linkedin.com/company/time-dotcom-berhad,476,1035
universiti tenaga nasional,uniten.edu.my,,education management,1001 - 5000,"kajang, selangor, malaysia",malaysia,linkedin.com/company/universiti-tenaga-nasional,473,801
prasarana malaysia berhad,prasarana.com.my,2002.0,transportation/trucking/railroad,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/syarikat-prasarana-negara-berhad-prasarana-,469,669
brunei lng sendirian berhad,bruneilng.com,1969.0,oil & energy,1001 - 5000,"lumut, perak, malaysia",malaysia,linkedin.com/company/brunei-lng,450,711
heitech padu berhad,heitech.com.my,1995.0,information technology and services,1001 - 5000,"subang jaya, selangor, malaysia",malaysia,linkedin.com/company/heitech-padu-berhad,444,1009
jobstreet,jobstreet.com,1995.0,human resources,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/jobstreet,438,1126
alliance bank malaysia berhad,alliancebank.com.my,,banking,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/alliance-bank-malaysia-berhad,436,1051
"agrobank, malaysia",agrobank.com.my,1969.0,banking,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/agrobank-malaysia,426,582
universiti malaysia terengganu,umt.edu.my,,higher education,1001 - 5000,"kuala terengganu, terengganu, malaysia",malaysia,linkedin.com/company/universiti-malaysia-terengganu,424,545
star publications (m) bhd,starmediagroup.my,1971.0,publishing,1001 - 5000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/star-media-group-berhad,411,934
deloitte malaysia,,,accounting,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/deloitte-malaysia,410,1299
tan chong group,tanchong.com.my,1957.0,automotive,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/tan-chong-group,405,753
gamuda,gamuda.com.my,1976.0,construction,1001 - 5000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/gamuda,401,787
jaring,,,internet,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/jaring,399,419
sarawak energy berhad,sarawakenergy.com.my,1967.0,utilities,1001 - 5000,"kuching, sarawak, malaysia",malaysia,linkedin.com/company/sarawak-energy-berhad,384,549
elken sdn bhd,elken.com.my,1996.0,consumer goods,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/elken-sdn-bhd,383,560
gch retail,giant.com.my,1944.0,retail,1001 - 5000,"shah alam, selangor, malaysia",malaysia,linkedin.com/company/gch-retail-m-sdn-bhd,377,806
wasco energy group of companies,wascoenergy.com,2006.0,oil & energy,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/wasco-coatings-ltd,372,842
iflix,taoofiflix.com,2014.0,entertainment,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/iflix,367,686
carsem,carsem.com,1972.0,semiconductors,1001 - 5000,"ipoh, perak, malaysia",malaysia,linkedin.com/company/carsem,360,855
international medical university,imu.edu.my,1992.0,higher education,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/international-medical-university,360,637
mesiniaga berhad,mesiniaga.com.my,1981.0,information technology and services,1001 - 5000,"subang jaya, selangor, malaysia",malaysia,linkedin.com/company/mesiniaga-berhad,360,1088
uem group berhad,uem.com.my,1966.0,civil engineering,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/uem-group-berhad,358,788
malakoff berhad,malakoff.com.my,1975.0,utilities,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/malakoff-berhad,351,577
usg boral building products,usgboral.com,,building materials,1001 - 5000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/usgboral-building-products,349,508
universiti pendidikan sultan idris,upsi.edu.my,1922.0,education management,1001 - 5000,"tanjong malim, perak, malaysia",malaysia,linkedin.com/company/universiti-pendidikan-sultan-idris,348,420
petra energy berhad,petraenergy.com.my,,oil & energy,1001 - 5000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/petra-energy-berhad,345,730
silverlake group of companies,silverlakegroup.com,1989.0,information technology and services,1001 - 5000,"petaling jaya, selangor, malaysia",malaysia,linkedin.com/company/silverlake,341,729
malaysian palm oil board,mpob.gov.my,,government administration,1001 - 5000,"kajang, selangor, malaysia",malaysia,linkedin.com/company/malaysian-palm-oil-board,339,544
ytl hotels,ytlhotels.com,1985.0,hospitality,1001 - 5000,"kuala lumpur, kuala lumpur, malaysia",malaysia,linkedin.com/company/ytl-hotels,337,707
